Agent,Location Name,Address,City,St,Zip,County,Loc Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
28131,KANSAS FURNITURE MART,4547 S TOPEKA BLVD,TOPEKA,KS,666090000,SHAWNEE,7852736278,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,CLOSED
21861,HY-VEE #1658 A,2951 SW WANAMAKER RD,TOPEKA,KS,666140000,SHAWNEE,7852721763,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
26637,HY-VEE #1658 B,2951 SW WANAMAKER RD,TOPEKA,KS,666140000,SHAWNEE,7852721763,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
29074,29TH STREET QUICK STOP,3101 SW 29TH ST,TOPEKA,KS,666140000,SHAWNEE,7852289005,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM
24192,DOLLAR DAZE,110 E 23RD ST,FORT SCOTT,KS,667010000,BOURBON,6202230004,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,9AM-4PM,CLOSED,CLOSED
29946,MOON'S HOMETOWN MARKET,915 N 9TH ST,HUMBOLDT,KS,667480000,ALLEN,6204733161,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
17140,RON'S IGA A,310 E.CENTENNIAL,PITTSBURG,KS,667620000,CRAWFORD,6202317920,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
17204,RON'S IGA-B,310 E.CENTENNIAL,PITTSBURG,KS,667620000,CRAWFORD,6202317920,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
29839,RON'S IGA-C,310 E CENTENNIAL,PITTSBURG,KS,667620000,CRAWFORD,6202317920,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
29972,PARADISE MALL,105 S BROADWAY ST,PITTSBURG,KS,667620000,CRAWFORD,6202326956,10AM-5PM,10AM-5PM,10AM-5PM,10AM-5PM,10AM-5PM,10AM-5PM,1PM-3PM
31816,DOLLAR DAZE,203 N BROADWAY ST,PITTSBURG,KS,667624805,CRAWFORD,6202318940,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,CLOSED
21559,COUNTRY MART #2621,1020 MERCHANT ST,EMPORIA,KS,668010000,LYON,6203421461,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
21561,GOODS CASH SAVERS,2703 W HWY 50,EMPORIA,KS,668010000,LYON,6203437140,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
18696,COFFIN/HOLMES INS AGENCY,14 W MAIN,COUNCIL GROVE,KS,668460000,MORRIS,6207675133,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,CLOSED,CLOSED
19107,PEABODY HARDWARE & LUMBER,124 N WALNUT,PEABODY,KS,668660000,MARION,6209832170,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,CLOSED
22378,CENTURY 21,201 WEST 6TH ST,CONCORDIA,KS,669010000,CLOUD,7852431555,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,CLOSED,CLOSED
17341,JIMS FOOD LINER,412 N MAIN ST,CHENEY,KS,670250000,SEDGWICK,3165403154,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
33080,YESWAY #1119,1110 N Main St,Cheney,KS,670258957,SEDGWICK,6202572820,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
26908,JUMPSTART CENTRAL,1631 W CENTRAL,EL DORADO,KS,670420000,BUTLER,3163215767,5AM-2AM,5AM-2AM,5AM-2AM,5AM-2AM,5AM-2AM,5AM-2AM,6AM-2AM
21873,HAYESVILLE TRUE VALUE,325 N MAIN,HAYSVILLE,KS,670600000,SEDGWICK,3165228665,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,12PM-5PM
22505,WHITE'S FOODLINER,858 EAST D. AVE,KINGMAN,KS,670680000,KINGMAN,16205323851,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM
27982,WHITE'S FOODLINER,225 S ILIFF,MEDICINE,KS,671040000,BARBER,6208863532,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM
29334,JUMP START #3,401 N COMMERCIAL,SEDGWICK,KS,671350000,HARVEY,3164164081,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-12AM,6AM-10PM
32573,Kacie`s Kloset,106 N Washington Ave,Wellington,KS,671523949,SUMNER,3162264273,CLOSED,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,11AM-7PM,CLOSED
19994,A-OK,410 N WEST ST,WICHITA,KS,672030000,SEDGWICK,13169459000,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-6PM,CLOSED
29032,PETRO AMERICA #2,2838 W CENTRAL AVE,WICHITA,KS,672030000,SEDGWICK,3163515426,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
29106,A-OK 1,2021 N AMIDON SUITE 1600,WICHITA,KS,672030000,SEDGWICK,3164243570,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,CLOSED
29113,ONE STOP,802 N WEST ST,WICHITA,KS,672030000,SEDGWICK,3169424061,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,7AM-10PM
29983,STOP & SHOP,1826 W 13TH ST N,WICHITA,KS,672030000,SEDGWICK,3162622182,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,7AM-10PM
30184,JUMP START #4,3805 W 21ST ST N,WICHITA,KS,672030000,SEDGWICK,3144401002,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-12AM,6AM-10PM
26306,QUICK PICK,3733 N ARKANSAS,WICHITA,KS,672040000,SEDGWICK,3168388015,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
29031,PETRO AMERICA,2700 N AMIDON,WICHITA,KS,672040000,SEDGWICK,13168387102,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
29717,MI MEXICO LINDO MARKET,2652 N ARKANSAS,WICHITA,KS,672040000,SEDGWICK,3164407828,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM
22900,A-OK,1525 S. BROADWAY ST.,WICHITA,KS,672110000,SEDGWICK,3162653752,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-6PM,CLOSED
31029,PE STATION,731 N. RIDGE,WICHITA,KS,672120000,SEDGWICK,3167228881,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
25482,VALERO #1,851 S MERIDIAN,WICHITA,KS,672130000,SEDGWICK,3169427511,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
25662,VALERO #2,1622 S WEST ST,WICHITA,KS,672130000,SEDGWICK,3169465898,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,7AM-5PM,CLOSED
31073,SUPER DEL CENTRO,1560 S MAIN ST,WICHITA,KS,672130000,SEDGWICK,13162651803,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM
19832,THE SMELL WELL,2618 E 21ST ST,WICHITA,KS,672140000,SEDGWICK,3166181935,11AM-5PM,11AM-5PM,11AM-5PM,11AM-5PM,11AM-5PM,11AM-5PM,CLOSED
29014,FOOD MART,1400 N MARKET ST,WICHITA,KS,672140000,SEDGWICK,3162643198,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM,6AM-12AM
30040,P&P SEED & BAIT COMPANY,1901 E 21ST ST,WICHITA,KS,672140000,SEDGWICK,3162659930,8AM-7PM,8AM-7PM,8AM-6PM,8AM-6PM,8AM-6PM,8AM-6PM,CLOSED
30041,EVANS CORNER,2828 E 21ST ST,WICHITA,KS,672140000,SEDGWICK,3166830022,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
30844,NOMAR INTERNATIONAL FOOD,1770 N BROADWAY AVE,WICHITA,KS,672140000,SEDGWICK,3162694590,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM
30890,21ST MARKET-A,2001 E 21ST ST N,WICHITA,KS,672140000,SEDGWICK,3164257040,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
30983,21ST MARKET,2001 E 21ST ST N,WICHITA,KS,672140000,SEDGWICK,3165197998,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
31171,GLOBAL WIRELESS,1459 N BROADWAY,WICHITA,KS,672140000,SEDGWICK,3162609191,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,11AM-6PM
32071,BUNYARD'S,3165 S HILLSIDE ST,Wichita,KS,672162553,SEDGWICK,3169928866,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM,7AM-8PM
31352,FLYING EAGLE,3405 S WEST ST,WICHITA,KS,672171041,SEDGWICK,3169429800,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
19991,A-OK,1547 S OLIVER,WICHITA,KS,672180000,SEDGWICK,13166822191,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-6PM,CLOSED
25896,A-OK,1547 S OLIVER,WICHITA,KS,672180000,SEDGWICK,3166822191,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-6PM,CLOSED
29469,LA TIENDA DEL AHORRO,2290 S OLIVER,WICHITA,KS,672180000,SEDGWICK,3162603578,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM
27673,PP STATION,2601 N BROADWAY,WICHITA,KS,672190000,SEDGWICK,3167616849,6AM-8PM,6AM-8PM,6AM-8PM,6AM-8PM,6AM-8PM,6AM-8PM,6AM-8PM
30126,LEEKER'S FAMILY FOODS,6223 N BROADWAY AVE,PARK CITY,KS,672190000,SEDGWICK,3167441223,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM,7AM-9PM
31867,FARMER`S MARKET,2901 N BROADWAY AVE,WICHITA,KS,672190000,SEDGWICK,3168387591,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM
29693,JUMP START 2,3024 W MAIN ST,INDEPENDENCE,KS,673010000,MONTGOMERY,6203312022,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM,8AM-4PM
29694,JUMP START 3,419 W COLLEGE AVE,INDEPENDENCE,KS,673010000,MONTGOMERY,6205774218,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,5AM-11PM,6AM-9PM
16457,MC CLELLAN APPL. REPAIR &,218 W. 9TH,COFFEYVILLE,KS,673370000,MONTGOMERY,6202516966,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,CLOSED
29692,JUMP START 1,512 NORTHEAST ST,COFFEYVILLE,KS,673370000,MONTGOMERY,6202514500,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
31162,COUNTRY MART #76,1000 HALL ST,COFFEYVILLE,KS,673370000,MONTGOMERY,6502516820,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM
31815,DOLLAR DAZE,1331 MAIN ST,PARSONS,KS,673573328,LABETTE,6204219400,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,CLOSED
28451,MONEY ZONE INC,1819 BROADWAY,SALINA,KS,674010000,SALINE,7854042039,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-6PM,10AM-2PM,CLOSED
28805,RODEO,1501 S 9TH ST,SALINA,KS,674010000,SALINE,7854042693,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-9PM,10AM-6PM
28925,VALERO,848 N BROADWAY BLVD,SALINA,KS,674010000,SALINE,17854041911,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,6AM-11PM,7AM-10PM
17087,WEST'S PLAZA COUNTRY MART,1900 N BUCKEYE,ABILENE,KS,674100000,DICKINSON,7852632285,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
30443,RAY'S APPLE MARKET,1010 N INDEPENDENCE AVE,BELOIT,KS,674202147,MITCHELL,7857385704,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,8AM-10PM
33079,YESWAY #1118,102 S Cole St,LINDSBORG,KS,674562407,MCPHERSON,7852272256,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33077,YESWAY #1116,1035 W Kansas Ave,MCPHERSON,KS,674604110,MCPHERSON,6202415521,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33078,YESWAY #1117,415 E Kansas Ave,MCPHERSON,KS,674604437,MCPHERSON,6202413872,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
24927,SALT CITY PAWN & JEWELRY,916 E 4TH AVE,HUTCHINSON,KS,675017028,RENO,6206620403,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-2PM,CLOSED
33034,YESWAY #1040,1905 E 4TH AVE,HUTCHINSON,KS,675010000,RENO,6206657011,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33036,YESWAY #1042,428 E 4TH AVE,HUTCHINSON,KS,675010000,RENO,6206690611,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33038,YESWAY #1044,901 E 11TH AVE,HUTCHINSON,KS,675010000,RENO,6208605030,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33035,YESWAY #1041,1630 E 30TH AVE,HUTCHINSON,KS,675020000,RENO,6206639500,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
33037,YESWAY #1043,1000 W 30TH AVE,HUTCHINSON,KS,675020000,RENO,6206620852,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
26683,J&L COINS & JEWELRY,1203 MAIN ST,GREAT BEND,KS,675300000,BARTON,16207936732,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-1PM,CLOSED
33076,YESWAY #1115,100 S Grand Ave,Lyons,KS,675542834,RICE,6202572820,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
29689,JAMBOREE FOODS,115 N IOWA AVE,NESS CITY,KS,675600000,NESS,7857983138,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,9AM-6PM
22359,MYERS FURNITURE,721 N. MAIN,RUSSELL,KS,676650000,RUSSELL,7854832481,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,1PM-4PM
16505,EXPRESSIONS,314 SOUTH MAIN,JOHNSON,KS,678550000,STANTON,6204922117,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,CLOSED,CLOSED
30907,TRUE VALUE,704 S NIPP ST,JOHNSON,KS,678550000,STANTON,6204926240,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM,8AM-7PM
22954,SPENCER'S SUPERMARKET,1018 N. COUNCIL AVE.,BLANCHARD,OK,730100000,MC CLAIN,4054853810,7AM-1PM,7AM-1PM,7AM-1PM,7AM-1PM,7AM-1PM,7AM-1PM,7AM-1PM
100465,Bronco Corner #1,402 W Country Club Rd,Chickasha,OK,730187236,GRADY,4053205672,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM
100466,Bronco Trucking,3505 S 4th St,Chickasha,OK,730187504,GRADY,4058253531,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM,4AM-11PM
32490,Harps Foods Store 386,18450 E State Highway 9,Norman,OK,730269406,CLEVELAND,4797517601,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
32489,Harps Food Store 385,20941 SE 29th St,Harrah,OK,730456440,OKLAHOMA,4053913410,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
27134,LA RAZA MERCADITO,905 N VIRGINIA AVE,OKLAHOMA CITY,OK,731060000,OKLAHOMA,4052284931,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM
22846,LA CIENIGA,2503 W RENO AVE,OKLAHOMA CITY,OK,731070000,OKLAHOMA,4054136414,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS,24HRS
22925,WHITTAKER FOOD STORE,2941 NW. 10TH ST.,OKLAHOMA CITY,OK,731070000,OKLAHOMA,4059438523,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM
27137,LATINOS MARKET,4223 NW 10TH ST,OKLAHOMA CITY,OK,731070000,OKLAHOMA,4056017979,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM
29850,EL MARIACHI SUPERMERCADO2,3020 NW 16TH ST,OKLAHOMA CITY,OK,731070000,OKLAHOMA,4059421529,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM
31736,NEGOCIOS EL QUETZALITO,3033 NW 16TH ST,OKLAHOMA CITY,OK,731074720,OKLAHOMA,4056019569,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-10PM,8AM-9PM,CLOSED
