Center,Center Name,Address,City,ST,Zip,Phone,Open Mon.,Closed Mon.,Open Tues.,Closed Tues.,Open Wed.,Closed Wed.,Open            Thur,Closed Thurs.,Open          Fri.,Closed Fri.,Open Sat.,Closed Sat.,Open Sun.,Closed Sun.,Longitude,Latitude
1303,ACE CASH EXPRESS 1303,6304 LAKE WORTH BLVD,LAKE WORTH,TX,76135,8172374152,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.422682,32.81014
1306,ACE CASH EXPRESS 1306,5606 BROADWAY BLVD,GARLAND,TX,75043,9722401366,800,1900,800,1900,800,1900,800,1900,800,2000,800,1800,0,0,-96.595986,32.847311
1307,ACE CASH EXPRESS 1307,6334 MEADOWBROOK DR,FORT WORTH,TX,76112,8174460042,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.221042,32.745938
1308,ACE CASH EXPRESS 1308,251 SW WILSHIRE BLVD,BURLESON,TX,76028,8172959929,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.329875,32.542272
1309,ACE CASH EXPRESS 1309,5920 SAMUELL BLVD,DALLAS,TX,75227,2142757663,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.701132,32.791713
1310,ACE CASH EXPRESS 1310,836 W UNIVERSITY DR,DENTON,TX,76201,9402431308,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.140495,33.230511
1313,ACE CASH EXPRESS 1313,3905 E BELKNAP ST,FORT WORTH,TX,76111,8178316588,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.290594,32.781189
1319,ACE CASH EXPRESS 1319,1324 W MAIN ST,LEWISVILLE,TX,75067,9722211991,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.028374,33.041979
1329,ACE CASH EXPRESS 1329,3714 W LEDBETTER DR,DALLAS,TX,75237,2143312081,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.881756,32.691139
1330,ACE CASH EXPRESS 1330,3330 N GALLOWAY AVE,MESQUITE,TX,75150,9726139889,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.610953,32.810059
1333,ACE CASH EXPRESS 1333,18110 MIDWAY,DALLAS,TX,75287,9727326914,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.84362,32.995685
1335,ACE CASH EXPRESS 1335,934 N COLLINS ST,ARLINGTON,TX,76011,8172745275,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.097474,32.748604
1336,ACE CASH EXPRESS 1336,4749 E LANCASTER AVE,FORT WORTH,TX,76103,8175340175,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800,0,0,-97.252303,32.741163
1339,ACE CASH EXPRESS 1339,3306 W CAMP WISDOM RD,DALLAS,TX,75237,9727091206,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,0,0,-96.874546,32.662453
1341,ACE CASH EXPRESS 1341,1901 E HWY 356,IRVING,TX,75060,9725544842,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.919376,32.805247
1342,ACE CASH EXPRESS 1342,112 E SEMINARY DR,FORT WORTH,TX,76115,8179237695,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.325189,32.68415
1344,ACE CASH EXPRESS 1344,1500 N CENTRAL EXPY,PLANO,TX,75074,9724237889,900,2000,900,2000,900,2000,900,2000,900,2100,900,1800,0,0,-96.708881,33.019882
1351,ACE CASH EXPRESS 1351,410 E PIONEER PKWY,GRAND PRAIRIE,TX,75051,9726421725,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.999674,32.709691
1352,ACE CASH EXPRESS 1352,1700 S CHERRY LN,WHITE SETTLEMENT,TX,76108,8172469628,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,0,0,-97.45192,32.741545
1353,ACE CASH EXPRESS 1353,2821 LIVE OAK ST,DALLAS,TX,75204,2148278476,900,1800,900,1800,900,1800,900,1800,900,1800,900,1700,0,0,-96.78837,32.789627
1354,ACE CASH EXPRESS 1354,3250 W PLEASANT RUN RD,LANCASTER,TX,75146,9722741024,800,1900,800,1900,800,1900,800,1900,800,2000,800,1700,0,0,-96.820643,32.604014
1355,ACE CASH EXPRESS 1355,5820 CAMP BOWIE BLVD,FORT WORTH,TX,76107,8177358188,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.410306,32.731114
1356,ACE CASH EXPRESS 1356,4801 LITTLE RD,ARLINGTON,TX,76017,8175631437,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.202963,32.66959
1357,ACE CASH EXPRESS 1357,1302 S SR-121,LEWISVILLE,TX,75067,2142227724,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.992661,33.027163
1362,ACE CASH EXPRESS 1362,2802 N MACARTHUR BLVD,IRVING,TX,75062,9722528626,900,2100,900,2100,900,2100,900,2100,900,2130,900,2130,1100,1800,-96.9589,32.844391
1367,ACE CASH EXPRESS 1367,3409 MANSFIELD HWY,FORT WORTH,TX,76119,8175358909,900,1900,900,1900,900,1900,900,1900,900,1930,900,1700,0,0,-97.27525,32.681239
1368,ACE CASH EXPRESS 1368,4750 BRYANT IRVIN RD,FORT WORTH,TX,76132,8173610059,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.415086,32.679557
1370,ACE CASH EXPRESS 1370,6213 GRANBURY RD,FORT WORTH,TX,76133,8174231321,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.399804,32.658917
1371,ACE CASH EXPRESS 1371,9324 CLIFFORD ST,FORT WORTH,TX,76108,8173670952,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.47873,32.765658
1372,ACE CASH EXPRESS 1372,100 S. RIDGEWAY DRIVE,CLEBURNE,TX,76033,8175563965,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.408682,32.340507
1375,ACE CASH EXPRESS 1375,419 N MAIN ST,KELLER,TX,76248,8173370452,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.661887,33.100869
1376,ACE CASH EXPRESS 1376,121 N GREENVILLE AVE,ALLEN,TX,75002,9723909555,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.535347,33.014675
1378,ACE CASH EXPRESS 1378,401B SR-78,WYLIE,TX,75098,9724291788,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.700295,32.932419
1385,ACE CASH EXPRESS 1385,1332 S PLANO RD,RICHARDSON,TX,75081,9722355122,900,1900,900,1900,900,1900,900,1900,900,2000,930,1800,0,0,-97.322135,32.635965
1386,ACE CASH EXPRESS 1386,7824 S FWY,FORT WORTH,TX,76134,8175517128,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.133313,32.842938
1387,ACE CASH EXPRESS 1387,2248 CENTRAL DR,BEDFORD,TX,76021,8175459121,1000,1900,1000,1900,1000,1900,1000,1900,1000,2000,1000,1700,0,0,-97.09006,32.834506
1388,ACE CASH EXPRESS 1388,508 W EULESS BLVD,EULESS,TX,76040,8173544441,900,1900,900,1900,900,1900,900,1900,900,2000,1000,1700,0,0,-96.638453,33.195449
1390,ACE CASH EXPRESS 1390,401 S CENTRAL EXPY,MCKINNEY,TX,75069,9725626728,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.801559,32.708366
1398,ACE CASH EXPRESS 1398,3200 S LANCASTER RD,DALLAS,TX,75216,2143756209,800,2000,800,2000,800,2000,800,2000,800,2000,800,2000,1200,1800,-96.943992,32.600432
1801,ACE CASH EXPRESS 1801,223 E FM-1382,CEDAR HILL,TX,75104,4692723149,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-96.62165,32.719494
1816,ACE CASH EXPRESS 1816,11923 ELAM RD,BALCH SPRINGS,TX,75180,9729135342,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.84291,32.40139
1828,ACE CASH EXPRESS 1828,130 N HWY 77,WAXAHACHIE,TX,75165,9729383633,800,1900,800,1900,800,1900,800,2000,800,2000,800,1700,0,0,-96.747003,32.760816
1842,ACE CASH EXPRESS 1842,3328 ELSIE FAYE HEGGINS,DALLAS,TX,75215,2149289335,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.65717,32.734401
1843,ACE CASH EXPRESS 1843,9545 LAKE JUNE RD,DALLAS,TX,75217,2143090101,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.732797,33.058223
1844,ACE CASH EXPRESS 1844,2070 W SPRING CREEK PKWY,PLANO,TX,75023,9725177959,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.804494,33.140686
1845,ACE CASH EXPRESS 1845,7548 PRESTON RD,FRISCO,TX,75034,2144364746,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-96.890587,33.069511
1849,ACE CASH EXPRESS 1849,3800 MAIN ST,THE COLONY,TX,75056,2144692407,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.258615,32.894213
1903,ACE CASH EXPRESS 1903,8436 DENTON HWY,FORT WORTH,TX,76148,8175038961,930,1900,930,1900,930,1900,930,1900,900,1930,900,1700,0,0,-97.363841,32.653713
1904,ACE CASH EXPRESS 1904,6280 MCCART AVE,FORT WORTH,TX,76133,8173610317,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.094035,32.78475
1905,ACE CASH EXPRESS 1905,1001 NE GREEN OAKS BLVD,ARLINGTON,TX,76006,8174607810,1000,1900,1000,1900,1000,1900,1000,1900,1000,2000,1000,1600,0,0,-97.403396,32.770279
1906,ACE CASH EXPRESS 1906,5516 RIVER OAKS BLVD,RIVER OAKS,TX,76114,8177354963,900,1900,900,1900,900,1900,900,1900,900,2000,930,1700,0,0,-98.494446,33.877752
1912,ACE CASH EXPRESS 1912,3624 JACKSBORO HWY,WICHITA FALLS,TX,76302,9407664800,1000,1900,1000,1900,1000,1900,1000,1900,900,1930,1000,1630,0,0,-97.214175,32.84316
1923,ACE CASH EXPRESS 1923,5310 DAVIS BLVD,NORTH RICHLAND HILLS,TX,76180,8176560967,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-98.5308,33.874929
1927,ACE CASH EXPRESS 1927,3605 KEMP BLVD,WICHITA FALLS,TX,76308,9406926264,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.262814,32.714043
1935,ACE CASH EXPRESS 1935,4201 E BERRY ST,FORT WORTH,TX,76105,8175358351,900,1830,900,1830,900,1830,900,1830,900,1900,900,1630,0,0,-97.13388,32.670007
1936,ACE CASH EXPRESS 1936,4701 S COOPER ST,ARLINGTON,TX,76017,8173750016,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.132022,32.578506
1938,ACE CASH EXPRESS 1938,980 N WALNUT CREEK,MANSFIELD,TX,76063,6825188168,900,1900,900,1900,900,1900,900,1900,900,2000,900,1800,0,0,-97.289545,32.86014
1954,ACE CASH EXPRESS 1954,6380 N BEACH ST,HALTOM CITY,TX,76137,8172812022,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700,0,0,-96.857331,32.602056
9400,ACE CASH EXPRESS 9400,719 N HAMPTON,DESOTO,TX,75115,9722238360,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.3782,32.8762
9405,ACE CASH EXPRESS 9405,1029 N SAGINAW BLVD,SAGINAW,TX,76179,8172325199,900,1900,900,1900,900,1900,900,1900,900,2000,900,1700,0,0,-97.3782,32.8762
