DESCRIPTION,TYPE,ADDRESS,CITY,STATE,ZIP,PHONE
ALBERTSONS - #4163,GROCERY STORE,5950 S COOPER ST,ARLINGTON,TX,76017,817-557-0185
ALBERTSONS - #4191,GROCERY STORE,4351 FM 2181,CORINTH,TX,76210,940-321-4540
ALBERTSONS - #3042 ,GROCERY STORE,6220 US 287 HWY,ARLINGTON,TX,76017,817-478-8901
CITY OF ARLINGTON,MUNICIPALITY,101 W ABRAMS ST,ARLINGTON,TX,76010,817-459-6777
CITY OF COPPELL,MUNICIPALITY,255 E PARKWAY BLVD,COPPELL,TX,75019,972-304-3695
CITY OF CORINTH,MUNICIPALITY,3300 CORINTH PKY,CORINTH,TX,76208,940-498-3294
CITY OF LEWISVILLE,MUNICIPALITY,151 W CHURCH ST,LEWISVILLE,TX,75057,972-219-3440
CITY OF NORTH RICHLAND HILLS,MUNICIPALITY,4301 CITY POINT DR,NORTH RICHLAND HILLS,TX,76180,817-427-6200
FIESTA MART - #53,GROCERY STORE,"975 E IRVING BLVD, IRVING, TX, 75060",IRVING,TX,75060,972-554-2574
FIESTA MART - #60,GROCERY STORE,"1300 E PIONEER PKY, ARLINGTON, TX, 76010",ARLINGTON,TX,76010,817-804-7800
FIESTA MART - #70,GROCERY STORE,"1235 S JOSEY LN, CARROLLTON, TX, 75006",CARROLLTON,TX,75006,972-417-0580
FIESTA MART - #73,GROCERY STORE,"1145 W AIRPORT FWY, IRVING, TX, 75062",IRVING,TX,75062,972-255-2303
FIESTA MART - #209,GROCERY STORE,2200 W SHADY GROVE ,IRVING,TX,75060,972-790-5020
KROGER - #413,GROCERY STORE,2580 EAST ARKANSAS LN ,ARLINGTON,TX,76014,817-861-2255
KROGER - #415,GROCERY STORE,1617 WEST HENDERSON ST,CLEBURNE,TX,76033,817-641-0771
KROGER - #435,GROCERY STORE,2475 ASCENSION BLVD,ARLINGTON,TX,76006,817-860-6900
KROGER - #445,GROCERY STORE,5330 SOUTH COOPER ST,ARLINGTON,TX,76017,817-472-9491
KROGER - #460,GROCERY STORE,4038 OLD DENTON RD,CARROLLTON,TX,75007,972-512-3354
KROGER- #535,GROCERY STORE,9150 NORTH TARRANT PKWY,NORTH RICHLAND HILLS,TX,76182,817-918-3348
KROGER - #538,GROCERY STORE,2350 SOUTH EAST GREEN OAKS BLVD,ARLINGTON,TX,76018,817-419-0614
KROGER- #543,GROCERY STORE,945 WEST LAMAR,ARLINGTON,TX,76012,817-277-2144
KROGER- #577,GROCERY STORE,7505 N MACARTHUR,IRVING,TX,75063,972-831-8357
KROGER - #582,GROCERY STORE,9135 BOULEVARD 26,NORTH RICHLAND HILLS,TX,76180,817-605-3392
KROGER- #585,GROCERY STORE,1101 FLOWER MOUND RD,FLOWER MOUND,TX,75028,469-671-5770
KROGER - #688,GROCERY STORE,301 SOUTH BOWEN,ARLINGTON,TX,76013,817-277-5289
KROGER - #695,GROCERY STORE,5701 W. PLEASANT RIDGE,ARLINGTON,TX,76016,817-483-0666
KROGER- #807,GROCERY STORE,7201 BOULEVARD 26,NORTH RICHLAND HILLS,TX,76180,817-281-4007
KROGER - #851,GROCERY STORE,2210 SOUTH FIELDER,ARLINGTON,TX,76013,817-277-3505
NCTCOG,REGIONAL GOVERNMENT,616 SIX FLAGS DR,ARLINGTON,TX,76011,817-640-3300
NORTH TARRANT EXPRESS,TRANSPORATION AGENCY,9001 AIRPORT FREEWAY SUITE 600,NORTH RICHLAND HILLS,TX,76180,682-334-5470
TOM THUMB - #2588,GROCERY STORE,820 S MACARTHUR BLVD,COPPELL,TX,75019,972-393-0411
TOM THUMB - #1781,GROCERY STORE,106 N. DENTON TAP RD,COPPELL,TX,75019,970-304-3223
TOM THUMB - #3575,GROCERY STORE,2301 JUSTIN RD,FLOWER MOUND,TX,75028,972-539-2366
TOM THUMB - #3652,GROCERY STORE,745 CROSS TIMBERS RD,FLOWER MOUND,TX,75028,972-539-6828
TOM THUMB - #1854,GROCERY STORE,4301 CROSS TIMBERS RD,FLOWER MOUND,TX,75028,972-691-2084
TOM THUMB - #3572,GROCERY STORE,2600 FLOWER MOUND RD,FLOWER MOUND,TX,75028,972-355-5750
TOM THUMB - #1785,GROCERY STORE,1075 WEST FM 3040,LEWISVILLE,TX,75067,214-488-3060
TOM THUMB - #2590,GROCERY STORE,4112 NORTH JOSEY LN,CARROLLTON,TX,75007,972-394-4127
TOM THUMB - #3621,GROCERY STORE,4010 NORTH MACARTHUR BLVD,IRVING,TX,75038,972-717-9727
TOM THUMB - #2559,GROCERY STORE,3535 BELTLINE RD,IRVING,TX,75062,972-257-3420
TOM THUMB - #3625,GROCERY STORE,302 S. PARK BLVD,GRAPEVINE,TX,76051,817-481-5669
TOM THUMB - #3854,GROCERY STORE,4000 WILLIAM D. TATE AVE,GRAPEVINE,TX,76051,817-785-1004
TOM THUMB - #3617,GROCERY STORE,2611 WEST PARK ROW ,ARLINGTON,TX,76013,817-462-0151
TOM THUMB - #3658,GROCERY STORE,2755 N. COLLINS ,ARLINGTON,TX,76006,817-276-5360
TOM THUMB - #2686,GROCERY STORE,1701 W RANDOL MILL RD,ARLINGTON,TX,76012,817-460-8551
TOWN OF FLOWER MOUND,MUNICIPALITY,2121 CROSS TIMBERS RD,FLOWER MOUND,TX,75028,972-874-6010
TOWN OF LITTLE ELM,MUNICIPALITY,100 W ELDORADO PKY,LITTLE ELM,TX,75068,214-975-0406
ALBERTSONS - #4133,GROCERY STORE,427 E FM 1382,CEDAR HILL,TX,75104,972-291-9863
ALBERTSONS - #4166,GROCERY STORE,1300 W BELT LINE RD,DESOTO,TX,75115,972-223-1998
ALBERTSONS - #4231,GROCERY STORE,215 N CARRIER PKWY,GRAND PRAIRIE,TX,75050,972-642-6555
ALBERTSONS - #4265,GROCERY STORE,5710 BROADWAY BLVD,GARLAND,TX,75043,972-240-7339
ALBERTSONS - #4278,GROCERY STORE,4126 S CARRIER PKWY,GRAND PRAIRIE,TX,75052,972-642-2692
ALBERTSONS - #4289,GROCERY STORE,320 CASA LINDA PLZ,DALLAS,TX,75218,214-319-7919
CHANDLERS LANDING,RESIDENTIAL COMMUNITY,1 COMMODORE PLAZA,ROCKWALL,TX,75032,972-771-1593
CITY OF CEDAR HILL,MUNICIPALITY,285 UPTOWN BLVD,CEDAR HILL,TX,75104,972-291-5100
CITY OF DESOTO,MUNICIPALITY,211 E PLEASANT RUN RD,DESOTO,TX,75115,972-780-5010
CITY OF DUNCANVILLE,MUNICIPALITY,203 E WHEATLAND RD,DUNCANVILLE,TX,75116,972-780-5000
CITY OF LANCASTER,MUNICIPALITY,211 N HENRY ST,LANCASTER,TX,75146,972-218-1328
CITY OF ROCKWALL,MUNICIPALITY,385 S GOLIAD ST,ROCKWALL,TX,75087,972-771-7700
CITY OF ROWLETT,MUNICIPALITY,4004 MAIN ST,ROWLETT,TX,75088,972-412-6100
CITY OF UNIVERSITY PARK,MUNICIPALITY,3800 UNIVERSITY BLVD,UNIVERSITY PARK,TX,75205,214-363-1644
CARNIVAL - #77,GROCERY STORE,"3460 WEBB CHAPEL EXT, DALLAS, TX, 75220",DALLAS,TX,75220,214-902-7030
FIESTA MART - #29,GROCERY STORE,"611 W JEFFERSON BLVD, DALLAS, TX, 75208",DALLAS,TX,75208,214-944-3300
FIESTA MART - #34,GROCERY STORE,"3030 S LANCASTER RD, DALLAS, TX, 75216",DALLAS,TX,75216,214-302-4000
FIESTA MART - #40,GROCERY STORE,"5334 ROSS AVE, DALLAS, TX, 75206",DALLAS,TX,75206,214-887-3000
FIESTA MART - #54,GROCERY STORE,2940 S FIRST ST,GARLAND,TX,75041,972-271-9060
FIESTA MART - #57,GROCERY STORE,"2951 S BUCKNER BLVD, DALLAS, TX, 75227",DALLAS,TX,75227,214-275-3020
FIESTA MART - #58,GROCERY STORE,"8060 SPRING VALLEY RD, DALLAS, TX, 75240",DALLAS,TX,75240,972-783-8255
FIESTA MART - #65,GROCERY STORE,"2225 W LEDBETTER DR, DALLAS, TX, 75224",DALLAS,TX,75224,214-331-0270
FIESTA MART - #68,GROCERY STORE,"6401 ABRAMS RD, DALLAS, TX, 75231",DALLAS,TX,75231,214-342-3380
FIESTA MART - #71,GROCERY STORE,"3434 W ILLINOIS AVE, DALLAS, TX, 75211",DALLAS,TX,75211,214-331-3885
FIESTA MART - #74,GROCERY STORE,"11445 GARLAND RD, DALLAS, TX, 75218",DALLAS,TX,75218,214-324-0111
FIESTA MART - #32,GROCERY STORE,"9727 WEBB CHAPEL RD, DALLAS, TX, 75220",DALLAS,TX,75220,214-353-7650
FIESTA MART - #212,GROCERY STORE,3230 MLK BLVD,DALLAS,TX,75210,214-421-2371
KROGER - #191,GROCERY STORE,313 E PIONEER PKY,GRAND PRAIRIE,TX,75051,972-264-2384
KROGER - #518,GROCERY STORE,5665 E MOCKINGBIRD,DALLAS,TX,75206,214-826-2901
KROGER - #528,GROCERY STORE,4142 CEDAR SPRINGS,DALLAS,TX,75219,214-599-9859
KROGER - #575,GROCERY STORE,2935 RIDGE RD,ROCKWALL,TX,75087,972-771-8021
KROGER - #817,GROCERY STORE,2525 W I-20,GRAND PRAIRIE,TX,76052,972-988-1335
TERI JACKSON TOURIST CENTER,TOURIST INFORMATION CENTER,2170 NORTH BELT LINE RD,GRAND PRAIRIE,TX,75050,800-288-8FUN
TOM THUMB - #2643,GROCERY STORE,14280 MARSH LN,ADDISON,TX,75001,972-241-4485
TOM THUMB - #1925,GROCERY STORE,8805 LAKEVIEW PKY,ROWLETT,TX,75089,214-607-0218
TOM THUMB - #2964,GROCERY STORE,3070 N. GOLIAD ,ROCKWALL,TX,75087,972-961-9330
TOM THUMB - #1783,GROCERY STORE,2645 ARAPAHO ,GARLAND,TX,75044,972-495-9807
TOM THUMB - #2578,GROCERY STORE,2535 FIREWHEEL PKWY,GARLAND,TX,75040,972-675-8661
TOM THUMB - #1973 ,GROCERY STORE,7000 SNIDER PLAZA,UNIVERSITY PARK,TX,75205,214-346-4580
TOM THUMB - #1786,GROCERY STORE,4215 S. CARRIER PKWY ,GRAND PRAIRIE,TX,75052,972-266-7050
TOM THUMB - #3623,GROCERY STORE,210 EAST PLEASANT RUN RD,DESOTO ,TX,75115,972-274-7000
TOM THUMB - #3563,GROCERY STORE,633 WEST WHEATLAND RD,DUNCANVILLE,TX,75116,972-780-0792
TOM THUMB - #3614,GROCERY STORE,315 SOUTH HAMPTON RD,DALLAS,TX,75208,214-331-0160
TOM THUMB - #3522,GROCERY STORE,522 PRESTON RD,DALLAS,TX,75230,214-363-7685
TOM THUMB - #3650,GROCERY STORE,14999 PRESTON RD,DALLAS,TX,75254,972-789-6950
TOM THUMB - #2503 ,GROCERY STORE,4001 VILLANOVA ST,DALLAS,TX,75225,214-368-8636
TOM THUMB - #3597,GROCERY STORE,11920 PRESTON RD,DALLAS,TX,75230,972-392-2501
TOM THUMB - #2534,GROCERY STORE,6333 EAST MOCKINGBIRD LN,DALLAS,TX,75214,214-824-1265
TOM THUMB - #3608,GROCERY STORE,7700 W. NORTHWEST HWY,DALLAS,TX,75225,214-346-1020
ALBERTSONS - #232,GROCERY STORE,3563 ALTON RD,FORT WORTH,TX,76109,817-921-9000
ALBERTSONS - #4102,GROCERY STORE,1201 N SAGINAW BLVD,SAGINAW,TX,76179,817-232-2777
ALBERTSONS - #106 ,GROCERY STORE,1155 N MAIN ST,EULESS,TX,76039,817-354-9195
ALBERTSONS - #4124,GROCERY STORE,7400 OAKMONT BLVD,FORT WORTH,TX,76132,817-423-9556
ALBERTSONS - #4150,GROCERY STORE,6308 LAKE WORTH BLVD,LAKE WORTH,TX,76135,817-237-8124
ALBERTSONS - #4151,GROCERY STORE,4400 WESTERN CENTER BLVD,FORT WORTH,TX,76137,817-232-2180
ALBERTSONS - #4198,GROCERY STORE,10800 N BEACH ST,FORT WORTH,TX,76248,817-431-8912
ALBERTSONS - #4223,GROCERY STORE,9300 CLIFFORD ST,FORT WORTH,TX,76108,817-246-3366
ALBERTSONS - #1262 ,GROCERY STORE,1300 AIRPORT FWY,BEDFORD,TX,76022,817-354-0622
ALBERTSONS - #4267,GROCERY STORE,6249 RUFE SNOW DR,WATAUGA,TX,76148,817-428-0541
ALBERTSONS - #70 ,GROCERY STORE,4000 GLADE RD,COLLEYVILLE,TX,76034,817-354-0505
ALBERTSONS - #4272,GROCERY STORE,850 E LOOP 820,FORT WORTH,TX,76112,817-451-0306
ALBERTSONS - #4277,GROCERY STORE,3525 SYCAMORE SCHOOL RD,FORT WORTH,TX,76133,817-346-6497
ALBERTSONS - #4286,GROCERY STORE,6700 WEST FWY,FORT WORTH,TX,76116,817-377-8074
ALBERTSONS - #4294,GROCERY STORE,210 W KATHERINE P RAINES RD,CLEBURNE,TX,76033,817-641-2002
CITY OF BENBROOK,MUNICIPALITY,911 WINSCOTT RD,BENBROOK,TX,76126,817-249-3000
CITY OF COLLEYVILLE,MUNICIPALITY,100 MAIN ST,COLLEYVILLE,TX,76034,817-503-1000
CITY OF SOUTHLAKE PUBLIC LIBRARY,LIBRARY,1400 MAIN STREET SUITE 130,SOUTHLAKE,TX,76092,817-748-8243
FIESTA MART - #46,GROCERY STORE,"275 NE 28TH ST, FORT WORTH, TX, 76164",FT WORTH,TX,76106,817-625-3500
FIESTA MART - #61,GROCERY STORE,"2700 8TH AVE, FORT WORTH, TX, 76110",FT WORTH,TX,76110,817-920-1900
FIESTA MART - #67,GROCERY STORE,"421 W BOLT ST, FORT WORTH, TX, 76110",FT WORTH,TX,76110,817-920-1930
FIESTA MART - #69,GROCERY STORE,"7809 CAMP BOWIE W, FORT WORTH, TX, 76116",FT WORTH,TX,76116,817-696-9631
FIESTA MART - #76,GROCERY STORE,"4245 E BERRY ST, FORT WORTH, TX, 76105",FT WORTH,TX,76105,817-531-1067
KROGER - #224,GROCERY STORE,3510 ALTO MESA,FT WORTH,TX,76133,817-294-5911
KROGER - #439,GROCERY STORE,9114 CAMP BOWIE WEST BLVD,FT WORTH,TX,76116,817-244-2576
KROGER - #451,GROCERY STORE,1060 NORTH MAIN,EULESS,TX,76039,817-571-1008
KROGER - #512,GROCERY STORE,2110 EAST SOUTHLAKE BLVD,SOUTHLAKE,TX,76092,817-421-8105
KROGER - #516,GROCERY STORE,976 KELLER PKWY,KELLER,TX,76248,817-431-5194
KROGER - #520,GROCERY STORE,3120 SOUTH UNIVERSITY DR,FORT WORTH,TX,76109,817-566-7860
KROGER - #521,GROCERY STORE,2109 HARWOOD RD,BEDFORD,TX,76021,817-685-9266
KROGER - #536,GROCERY STORE,6650 NORTH BEACH,FORT WORTH,TX,76137,817-788-1688
KROGER - #537,GROCERY STORE,2061 RUFE SNOW,KELLER,TX,76248,817-605-8591
KROGER - #542,GROCERY STORE,3300 TEXAS SAGE TRL,FORT WORTH,TX,76177,817-750-2046
KROGER - #562,GROCERY STORE,12600 NORTH BEACH ST,FORT WORTH,TX,76244,817-562-3900
KROGER - #694,GROCERY STORE,3304 DENTON HWY,HALTOM CITY,TX,76117,817-838-6974
KROGER - #844,GROCERY STORE,708 EAST PIPELINE RD,HURST,TX,76053,817-285-9515
TOM THUMB - #1780,GROCERY STORE,1000 KELLER PKWY,KELLER,TX,76248,817-337-8030
TOM THUMB - #2580,GROCERY STORE,100 W. S.LAKE BLVD,SOUTHLAKE,TX,76092,817-416-5464
TOM THUMB - #1789,GROCERY STORE,101 TROPHY LAKE DR,ROANOKE,TX,76262,817-490-6960
TOM THUMB - #3622,GROCERY STORE,6377 CAMP BOWIE BLVD ,FORT WORTH,TX,76116,817-654-0256
TOM THUMB - #2574,GROCERY STORE,3100 S. HULEN ,FORT WORTH,TX,76109,817-570-2950
TOM THUMB - #3312,GROCERY STORE,2400 W. 7TH ST. ,FORT WORTH,TX,76107,817-302-1400
